filename,basename,variable,scenario,gcm,model,timestep,spatial_res,biascorrection,calendar,units,variable_name_long,variable_units,daily_variable_name_long
PETsrad_ssp126_AWI-CM-1-1-MR_CCAM_daily_NZ5km_bc.nc,PETsrad_ssp126_AWI-CM-1-1-MR_CCAM_daily_NZ5km_bc,PETsrad,ssp126,AWI-CM-1-1-MR,CCAM,daily,NZ5km,bc,NA,NA,Daily Potential Evapotranspiration,NA,Daily Potential Evapotranspiration
PETsrad_ssp245_AWI-CM-1-1-MR_CCAM_daily_NZ5km_bc.nc,PETsrad_ssp245_AWI-CM-1-1-MR_CCAM_daily_NZ5km_bc,PETsrad,ssp245,AWI-CM-1-1-MR,CCAM,daily,NZ5km,bc,NA,NA,Daily Potential Evapotranspiration,NA,Daily Potential Evapotranspiration
PETsrad_ssp370_AWI-CM-1-1-MR_CCAM_daily_NZ5km_bc.nc,PETsrad_ssp370_AWI-CM-1-1-MR_CCAM_daily_NZ5km_bc,PETsrad,ssp370,AWI-CM-1-1-MR,CCAM,daily,NZ5km,bc,NA,NA,Daily Potential Evapotranspiration,NA,Daily Potential Evapotranspiration
PETsrad_ssp585_AWI-CM-1-1-MR_CCAM_daily_NZ5km_bc.nc,PETsrad_ssp585_AWI-CM-1-1-MR_CCAM_daily_NZ5km_bc,PETsrad,ssp585,AWI-CM-1-1-MR,CCAM,daily,NZ5km,bc,NA,NA,Daily Potential Evapotranspiration,NA,Daily Potential Evapotranspiration
pr_historical_AWI-CM-1-1-MR_CCAM_daily_NZ5km_bc.nc,pr_historical_AWI-CM-1-1-MR_CCAM_daily_NZ5km_bc,pr,historical,AWI-CM-1-1-MR,CCAM,daily,NZ5km,bc,365_day,mm/day,Daily accumulated precipitation,NA,Daily accumulated precipitation
pr_ssp126_AWI-CM-1-1-MR_CCAM_daily_NZ5km_bc.nc,pr_ssp126_AWI-CM-1-1-MR_CCAM_daily_NZ5km_bc,pr,ssp126,AWI-CM-1-1-MR,CCAM,daily,NZ5km,bc,365_day,mm/day,Daily accumulated precipitation,NA,Daily accumulated precipitation
pr_ssp245_AWI-CM-1-1-MR_CCAM_daily_NZ5km_bc.nc,pr_ssp245_AWI-CM-1-1-MR_CCAM_daily_NZ5km_bc,pr,ssp245,AWI-CM-1-1-MR,CCAM,daily,NZ5km,bc,365_day,mm/day,Daily accumulated precipitation,NA,Daily accumulated precipitation
pr_ssp370_AWI-CM-1-1-MR_CCAM_daily_NZ5km_bc.nc,pr_ssp370_AWI-CM-1-1-MR_CCAM_daily_NZ5km_bc,pr,ssp370,AWI-CM-1-1-MR,CCAM,daily,NZ5km,bc,365_day,mm/day,Daily accumulated precipitation,NA,Daily accumulated precipitation
pr_ssp585_AWI-CM-1-1-MR_CCAM_daily_NZ5km_bc.nc,pr_ssp585_AWI-CM-1-1-MR_CCAM_daily_NZ5km_bc,pr,ssp585,AWI-CM-1-1-MR,CCAM,daily,NZ5km,bc,365_day,mm/day,Daily accumulated precipitation,NA,Daily accumulated precipitation
rsds_historical_AWI-CM-1-1-MR_CCAM_daily_NZ5km_raw.nc,rsds_historical_AWI-CM-1-1-MR_CCAM_daily_NZ5km_raw,rsds,historical,AWI-CM-1-1-MR,CCAM,daily,NZ5km,raw,365_day,W m-2,Average solar radiation,W/m2,Daily mean incoming solar radiation
